epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.92444,1.36715,3.94569,1.20042,0.00333,1,0.19059,0.14287,0.87176,3.61366,1.06361,0.0001,0.0001,0.0001
2,2.90661,1.25883,3.2981,1.14855,0.00333,1,0.22558,0.16531,0.89536,3.29242,1.04348,0.000217822,0.000217822,0.000217822
3,3.86575,1.16205,2.04273,1.05893,0.00333,1,0.27334,0.18118,0.86471,3.24334,0.97995,0.000333268,0.000333268,0.000333268
4,4.82654,1.1222,1.96821,1.07465,0.00333,1,0.31177,0.19605,1.03808,3.22996,1.06853,0.000446338,0.000446338,0.000446338
5,5.78776,1.11864,1.90642,1.0278,0.00333,1,0.04896,0.02817,1.19441,3.47063,1.21622,0.000557032,0.000557032,0.000557032
6,6.72975,0.94311,1.62007,0.9601,0.0077,0.82072,0.38027,0.28073,0.92474,3.10204,0.97728,0.00066535,0.00066535,0.00066535
7,7.68688,0.99981,1.71944,1.04627,0.00333,1,0.28735,0.17761,1.05983,3.27718,1.04968,0.000771292,0.000771292,0.000771292
8,8.62705,0.96882,1.54319,1.00007,0.00333,1,0.40349,0.28129,0.95761,3.19957,1.00565,0.000874858,0.000874858,0.000874858
9,9.57885,0.98661,1.45604,0.98925,0.00333,1,0.25582,0.12521,1.14251,3.47335,1.12559,0.000976048,0.000976048,0.000976048
10,10.5247,0.9381,1.51882,0.99757,0.84106,0.46524,0.65422,0.38557,1.05989,3.18411,1.11052,0.00107486,0.00107486,0.00107486
11,11.4745,1.00206,1.44637,1.01737,0.8149,0.25275,0.36058,0.21169,1.12375,3.13434,1.17251,0.0011713,0.0011713,0.0011713
12,12.4142,1.00228,1.40547,0.99282,0.69323,0.24841,0.40935,0.27011,1.09252,2.90473,1.08841,0.00126536,0.00126536,0.00126536
13,13.3649,1.01304,1.47786,1.02554,0.57279,0.20879,0.30622,0.18037,1.12712,3.02787,1.14081,0.00135705,0.00135705,0.00135705
14,14.309,1.04035,1.44414,1.02553,0.70397,0.1978,0.2492,0.13038,1.16772,3.1391,1.17405,0.00144636,0.00144636,0.00144636
15,15.2399,1.02243,1.35865,1.00393,0.23515,0.17582,0.13141,0.0743,1.15614,3.1821,1.14299,0.00153329,0.00153329,0.00153329
16,16.1783,1.04488,1.22262,1.01745,0.50983,0.17582,0.26011,0.17957,1.1203,2.6303,1.11324,0.00161785,0.00161785,0.00161785
17,17.1136,1.05774,1.29861,1.05457,0.54528,0.43956,0.47864,0.33469,1.03296,2.34004,1.05836,0.0016832,0.0016832,0.0016832
18,18.0531,1.02985,1.2479,1.01796,0.27659,0.62637,0.30641,0.18834,1.1854,2.23617,1.20896,0.0016634,0.0016634,0.0016634
19,18.9937,0.9939,1.15909,1.01657,0.40042,0.75824,0.43844,0.26547,1.09668,2.02541,1.14027,0.0016436,0.0016436,0.0016436
20,19.9339,0.91144,1.15928,0.98208,0.90307,0.91209,0.96621,0.71425,0.92721,1.39639,0.9946,0.0016238,0.0016238,0.0016238
21,20.8799,0.96483,1.18014,1.00102,0.95322,0.82418,0.94319,0.66501,0.98305,1.4814,1.02761,0.001604,0.001604,0.001604
22,21.8135,1.00959,1.18765,1.01409,0.97554,0.92308,0.97354,0.67967,0.96418,1.68369,1.00307,0.0015842,0.0015842,0.0015842
23,22.7473,0.93165,1.04,0.96176,0.9732,0.96703,0.98743,0.70179,0.90704,2.1064,0.97704,0.0015644,0.0015644,0.0015644
24,23.7375,0.83156,1.00468,0.95093,0.86515,0.91651,0.92389,0.68001,0.92892,2.69854,1.01379,0.0015446,0.0015446,0.0015446
25,24.675,0.86828,0.95856,0.94536,0.89111,0.85714,0.95489,0.6805,1.01706,2.59045,1.0357,0.0015248,0.0015248,0.0015248
26,25.6111,0.9356,1.07412,0.9711,0.81636,0.89011,0.90427,0.65195,0.99623,2.31565,1.02863,0.001505,0.001505,0.001505
27,26.5386,0.93875,1.04651,1.00649,0.8021,0.84623,0.88055,0.63507,0.99827,2.28944,1.04862,0.0014852,0.0014852,0.0014852
28,27.4765,0.89747,0.9896,0.99895,0.79671,0.94505,0.91104,0.66894,0.94778,1.95284,1.00759,0.0014654,0.0014654,0.0014654
29,28.4054,0.90834,0.91682,0.96128,0.81566,0.93407,0.93283,0.66366,0.9678,1.72161,1.00388,0.0014456,0.0014456,0.0014456
30,29.3391,0.9089,0.97148,1.00565,0.94929,0.96703,0.98561,0.71331,0.94586,1.34844,1.01429,0.0014258,0.0014258,0.0014258
31,30.2757,0.80544,0.84745,0.92343,0.92134,0.92308,0.97388,0.69289,0.98828,1.49225,1.02316,0.001406,0.001406,0.001406
32,31.2123,0.79528,0.90146,0.94675,0.96731,0.95604,0.98301,0.68577,0.93903,1.30375,1.01249,0.0013862,0.0013862,0.0013862
33,32.1433,0.83305,0.92479,0.97525,0.95846,0.96703,0.98538,0.71652,0.92592,1.09701,1.01609,0.0013664,0.0013664,0.0013664
34,33.0821,0.84432,0.87342,0.96595,0.96315,0.97802,0.98856,0.71396,0.95969,0.90629,1.08801,0.0013466,0.0013466,0.0013466
35,34.0096,0.76316,0.83174,0.94272,0.96515,0.98901,0.99092,0.72716,0.92629,0.90427,1.06468,0.0013268,0.0013268,0.0013268
36,34.9478,0.87222,0.85263,0.96236,0.96996,0.98901,0.98343,0.69455,0.96091,0.99347,1.07168,0.001307,0.001307,0.001307
37,35.8748,0.87025,0.85878,0.95968,0.97163,0.98901,0.981,0.69737,0.95274,0.89389,1.04986,0.0012872,0.0012872,0.0012872
38,36.8391,0.82053,0.79634,0.93255,0.95771,0.99536,0.98837,0.73111,0.92701,0.75953,1.01715,0.0012674,0.0012674,0.0012674
39,37.7986,0.85691,0.80929,0.95791,0.98808,0.98901,0.99468,0.737,0.92832,0.72666,1.0085,0.0012476,0.0012476,0.0012476
40,38.7518,0.81741,0.78469,0.97058,0.99808,0.98901,0.99448,0.76036,0.85203,0.72629,0.96848,0.0012278,0.0012278,0.0012278
41,39.721,0.83507,0.77708,0.93203,0.99576,0.98901,0.99458,0.76418,0.84045,0.71916,0.96472,0.001208,0.001208,0.001208
42,40.6626,0.76205,0.73865,0.94597,0.99889,0.98901,0.99489,0.75018,0.86101,0.67503,0.98981,0.0011882,0.0011882,0.0011882
43,41.6347,0.79446,0.71783,0.91102,0.99815,1,0.995,0.72739,0.91494,0.69611,1.01072,0.0011684,0.0011684,0.0011684
44,42.5906,0.76459,0.71799,0.91202,0.99679,0.98901,0.99489,0.73369,0.91336,0.73789,0.97324,0.0011486,0.0011486,0.0011486
45,43.5719,0.74972,0.68435,0.90261,0.98712,1,0.99489,0.73676,0.89677,0.74246,0.96774,0.0011288,0.0011288,0.0011288
46,44.5067,0.8038,0.75208,0.98034,0.97555,0.98901,0.99395,0.74717,0.88419,0.69267,0.98266,0.001109,0.001109,0.001109
47,45.4766,0.787,0.68533,0.9372,0.97773,0.98901,0.99425,0.76934,0.84002,0.68459,0.96503,0.0010892,0.0010892,0.0010892
48,46.4493,0.75522,0.70397,0.93986,0.97356,1,0.99312,0.73985,0.87045,0.68925,0.959,0.0010694,0.0010694,0.0010694
49,47.4117,0.7445,0.65447,0.92204,0.97746,0.98901,0.99262,0.73476,0.90924,0.67627,0.9711,0.0010496,0.0010496,0.0010496
50,48.3376,0.79723,0.71163,0.94627,0.98722,0.98901,0.99368,0.74005,0.91477,0.70111,0.99108,0.0010298,0.0010298,0.0010298
51,49.2648,0.75802,0.67595,0.92155,0.94754,0.93407,0.9822,0.73463,0.8663,0.8215,0.96992,0.00101,0.00101,0.00101
52,50.1909,0.76949,0.66754,0.91675,0.98457,0.97802,0.99354,0.75643,0.83451,0.74787,0.96913,0.0009902,0.0009902,0.0009902
53,51.1104,0.80545,0.69444,0.944,0.96884,0.97802,0.99226,0.77343,0.83465,0.71663,0.97084,0.0009704,0.0009704,0.0009704
54,52.0533,0.7925,0.69306,0.94712,0.97772,0.96468,0.98189,0.76316,0.81225,0.65824,0.93679,0.0009506,0.0009506,0.0009506
55,52.9746,0.7253,0.66855,0.9252,0.98908,0.99527,0.99467,0.76372,0.81626,0.62636,0.93212,0.0009308,0.0009308,0.0009308
56,53.9053,0.6824,0.6013,0.91617,0.98598,0.95604,0.98905,0.72969,0.86522,0.64184,0.9517,0.000911,0.000911,0.000911
57,54.825,0.69716,0.60478,0.89087,0.98452,0.95604,0.98939,0.72375,0.88333,0.64153,0.95473,0.0008912,0.0008912,0.0008912
58,55.7876,0.71971,0.65685,0.91201,0.98691,0.95604,0.99245,0.73372,0.89219,0.66298,0.9679,0.0008714,0.0008714,0.0008714
59,56.7071,0.66552,0.58401,0.87416,0.98373,0.97802,0.99337,0.73293,0.86891,0.63885,0.96644,0.0008516,0.0008516,0.0008516
60,57.637,0.70764,0.60393,0.90588,0.9867,0.98901,0.99457,0.76213,0.80628,0.57915,0.95119,0.0008318,0.0008318,0.0008318
61,58.5651,0.74026,0.62682,0.91926,0.98911,0.99822,0.99467,0.77841,0.8057,0.58775,0.95321,0.000812,0.000812,0.000812
62,59.5008,0.7016,0.63585,0.89955,0.99947,1,0.995,0.77863,0.83138,0.5822,0.95909,0.0007922,0.0007922,0.0007922
63,60.4294,0.66091,0.60519,0.89857,0.98834,1,0.99457,0.77813,0.83248,0.58326,0.95318,0.0007724,0.0007724,0.0007724
64,61.3561,0.69696,0.59145,0.90179,0.98792,1,0.99467,0.79266,0.82632,0.59521,0.95266,0.0007526,0.0007526,0.0007526
65,62.2865,0.69215,0.62727,0.93767,0.98829,1,0.99467,0.78343,0.84009,0.58292,0.96556,0.0007328,0.0007328,0.0007328
66,63.2125,0.67355,0.57867,0.88942,0.98912,0.99859,0.99446,0.78602,0.84456,0.54357,0.9815,0.000713,0.000713,0.000713
67,64.1351,0.66692,0.57226,0.88003,0.98905,1,0.99446,0.77667,0.83682,0.52516,0.98356,0.0006932,0.0006932,0.0006932
68,65.071,0.64788,0.55844,0.87567,0.97764,1,0.99435,0.79005,0.80915,0.54318,0.96451,0.0006734,0.0006734,0.0006734
69,65.9908,0.67307,0.56996,0.90244,0.97714,1,0.99435,0.77912,0.83637,0.54642,0.97064,0.0006536,0.0006536,0.0006536
70,66.9216,0.68084,0.57329,0.89935,0.97851,1,0.99435,0.77935,0.88432,0.52862,0.96653,0.0006338,0.0006338,0.0006338
71,67.8429,0.7229,0.59722,0.91903,0.98999,1,0.995,0.79288,0.84476,0.50759,0.94823,0.000614,0.000614,0.000614
72,68.7762,0.69302,0.5523,0.9097,0.99862,1,0.995,0.80005,0.76771,0.47372,0.91937,0.0005942,0.0005942,0.0005942
73,69.7031,0.67702,0.5431,0.893,0.99878,1,0.995,0.80563,0.76083,0.46366,0.91898,0.0005744,0.0005744,0.0005744
74,70.6431,0.63594,0.52397,0.87576,0.99873,1,0.995,0.80732,0.77754,0.47601,0.93483,0.0005546,0.0005546,0.0005546
75,71.5758,0.61598,0.52266,0.88156,0.99889,1,0.995,0.78603,0.79743,0.49119,0.9445,0.0005348,0.0005348,0.0005348
76,72.5057,0.59143,0.51556,0.86451,0.99908,1,0.995,0.80061,0.77818,0.48004,0.92607,0.000515,0.000515,0.000515
77,73.4349,0.63958,0.50229,0.87965,0.99926,1,0.995,0.80418,0.76233,0.47014,0.91172,0.0004952,0.0004952,0.0004952
78,74.3658,0.6372,0.52885,0.88344,0.99921,1,0.995,0.80361,0.76407,0.44733,0.90692,0.0004754,0.0004754,0.0004754
79,75.2899,0.62822,0.53436,0.88895,0.99918,1,0.995,0.79351,0.77416,0.44506,0.9131,0.0004556,0.0004556,0.0004556
80,76.2237,0.6194,0.50434,0.8875,0.99844,1,0.995,0.79214,0.80563,0.44573,0.93125,0.0004358,0.0004358,0.0004358
81,77.1462,0.61672,0.50564,0.86609,0.99857,1,0.995,0.78855,0.8175,0.44472,0.9347,0.000416,0.000416,0.000416
82,78.077,0.64142,0.50727,0.87387,0.9986,1,0.995,0.78403,0.81874,0.44884,0.9406,0.0003962,0.0003962,0.0003962
83,78.9954,0.62475,0.5017,0.87441,0.99884,1,0.995,0.78995,0.81637,0.4468,0.94122,0.0003764,0.0003764,0.0003764
84,79.9189,0.61845,0.50608,0.88043,0.99886,1,0.995,0.79409,0.7928,0.45076,0.93711,0.0003566,0.0003566,0.0003566
85,80.8405,0.58833,0.48439,0.87368,0.99898,1,0.995,0.78905,0.79154,0.44907,0.93949,0.0003368,0.0003368,0.0003368
86,81.7746,0.61962,0.50508,0.89431,0.99904,1,0.995,0.78515,0.8015,0.46343,0.94006,0.000317,0.000317,0.000317
87,82.6954,0.63216,0.50414,0.87966,0.99907,1,0.995,0.78282,0.79855,0.45953,0.94165,0.0002972,0.0002972,0.0002972
88,83.6228,0.59825,0.48633,0.86764,0.99911,1,0.995,0.79379,0.79152,0.45042,0.94547,0.0002774,0.0002774,0.0002774
89,84.545,0.55612,0.4783,0.86736,0.99912,1,0.995,0.80225,0.7897,0.45036,0.94507,0.0002576,0.0002576,0.0002576
90,85.4757,0.57783,0.47475,0.87822,0.99907,1,0.995,0.80091,0.79042,0.44614,0.9426,0.0002378,0.0002378,0.0002378
91,86.6762,0.517,0.4619,0.83174,0.99906,1,0.995,0.80448,0.78516,0.4457,0.94089,0.000218,0.000218,0.000218
92,87.6213,0.50386,0.45145,0.81737,0.99905,1,0.995,0.80642,0.79221,0.44781,0.93861,0.0001982,0.0001982,0.0001982
93,88.5946,0.53354,0.46814,0.84315,0.99913,1,0.995,0.80761,0.79212,0.44908,0.93713,0.0001784,0.0001784,0.0001784
94,89.687,0.48858,0.44553,0.80346,0.99914,1,0.995,0.79616,0.79728,0.44922,0.93807,0.0001586,0.0001586,0.0001586
95,90.7456,0.49674,0.44489,0.81694,0.99915,1,0.995,0.7941,0.80029,0.4451,0.93995,0.0001388,0.0001388,0.0001388
96,91.6696,0.46224,0.4523,0.7901,0.99916,1,0.995,0.79746,0.79639,0.44098,0.93865,0.000119,0.000119,0.000119
97,92.5884,0.50231,0.43874,0.79732,0.99919,1,0.995,0.79864,0.7879,0.43884,0.93442,9.92e-05,9.92e-05,9.92e-05
98,93.5159,0.49071,0.43969,0.82327,0.9992,1,0.995,0.80704,0.77875,0.43785,0.93263,7.94e-05,7.94e-05,7.94e-05
99,94.4355,0.46133,0.4337,0.78492,0.9992,1,0.995,0.8096,0.78026,0.43453,0.93306,5.96e-05,5.96e-05,5.96e-05
100,95.3662,0.47419,0.43791,0.82118,0.9992,1,0.995,0.80402,0.7754,0.43496,0.93047,3.98e-05,3.98e-05,3.98e-05
